len,0,1,2,4,8,16,32,64
2,96,277,413,408,420,406,415,422
12,1557,2285,2062,1454,2405,2727,2719,2711
22,6388,7612,5811,2383,3377,5565,5676,5575
32,14953,16504,11958,3343,3606,4474,8270,8316
42,30066,32048,22271,4987,5864,5450,9160,11494
52,46202,47732,33478,6865,7184,7080,11810,14999
62,72275,71463,50334,8958,11513,9991,12640,18384
72,100926,102042,71436,10768,16652,15024,17488,22321
82,137782,134836,92433,13708,18408,17275,18873,23873
92,163309,170742,119482,15719,25066,20526,22977,29029
102,222579,235658,143319,20613,27553,23294,22522,45915
